Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 03:07:11.293,114415.2,0.001,BTCUSDT
2025-09-30 03:07:11.293,114415.1,0.002,BTCUSDT
2025-09-30 03:07:11.293,114415.0,0.001,BTCUSDT
2025-09-30 03:07:11.293,114414.7,0.002,BTCUSDT
2025-09-30 03:07:11.293,114414.5,0.002,BTCUSDT
2025-09-30 03:07:11.293,114414.3,0.001,BTCUSDT
2025-09-30 03:07:11.293,114414.3,0.003,BTCUSDT
2025-09-30 03:07:11.293,114414.2,0.001,BTCUSDT
2025-09-30 03:07:11.293,114414.1,0.002,BTCUSDT
2025-09-30 03:07:11.293,114413.9,0.002,BTCUSDT
2025-09-30 03:07:11.293,114413.9,0.002,BTCUSDT
2025-09-30 03:07:11.293,114413.7,0.001,BTCUSDT
2025-09-30 03:07:11.293,114413.6,0.021,BTCUSDT
2025-09-30 03:07:11.293,114413.6,0.003,BTCUSDT
2025-09-30 03:07:11.293,114413.6,0.003,BTCUSDT
2025-09-30 03:07:11.293,114413.5,0.021,BTCUSDT
2025-09-30 03:07:11.293,114413.5,0.384,BTCUSDT
2025-09-30 03:07:11.293,114413.5,0.025,BTCUSDT
2025-09-30 03:07:11.293,114413.4,0.283,BTCUSDT
2025-09-30 03:07:11.523,114413.5,0.007,BTCUSDT
2025-09-30 03:07:12.059,114413.4,0.001,BTCUSDT
2025-09-30 03:07:12.156,114413.4,0.001,BTCUSDT
2025-09-30 03:07:12.156,114413.4,0.001,BTCUSDT
2025-09-30 03:07:12.156,114413.4,0.001,BTCUSDT
2025-09-30 03:07:12.156,114413.4,0.001,BTCUSDT
2025-09-30 03:07:12.156,114413.4,0.025,BTCUSDT
2025-09-30 03:07:12.306,114413.4,0.001,BTCUSDT
2025-09-30 03:07:12.325,114413.5,0.013,BTCUSDT
2025-09-30 03:07:12.492,114413.5,0.001,BTCUSDT
2025-09-30 03:07:12.645,114413.4,0.017,BTCUSDT
2025-09-30 03:07:12.731,114413.4,0.017,BTCUSDT
2025-09-30 03:07:12.793,114413.4,0.01,BTCUSDT
2025-09-30 03:07:12.793,114413.4,0.007,BTCUSDT
2025-09-30 03:07:12.840,114413.4,0.017,BTCUSDT
2025-09-30 03:07:12.882,114413.4,0.017,BTCUSDT
2025-09-30 03:07:12.886,114413.4,0.017,BTCUSDT
2025-09-30 03:07:12.927,114413.4,0.012,BTCUSDT
2025-09-30 03:07:12.927,114413.4,0.002,BTCUSDT
2025-09-30 03:07:12.927,114413.4,0.003,BTCUSDT
2025-09-30 03:07:12.943,114413.4,0.017,BTCUSDT
2025-09-30 03:07:12.958,114413.4,0.017,BTCUSDT
2025-09-30 03:07:13.027,114413.4,0.017,BTCUSDT
2025-09-30 03:07:13.065,114413.4,0.016,BTCUSDT
2025-09-30 03:07:13.065,114413.4,0.062,BTCUSDT
2025-09-30 03:07:13.066,114413.4,0.008,BTCUSDT
2025-09-30 03:07:13.066,114413.4,0.001,BTCUSDT
2025-09-30 03:07:13.066,114413.4,0.07,BTCUSDT
2025-09-30 03:07:13.066,114413.4,0.07,BTCUSDT
2025-09-30 03:07:13.066,114413.4,0.002,BTCUSDT
2025-09-30 03:07:13.066,114413.4,0.003,BTCUSDT
2025-09-30 03:07:13.066,114413.4,0.001,BTCUSDT
2025-09-30 03:07:13.066,114413.4,0.002,BTCUSDT
2025-09-30 03:07:13.066,114413.4,0.001,BTCUSDT
2025-09-30 03:07:13.066,114413.4,0.005,BTCUSDT
2025-09-30 03:07:13.066,114413.4,0.003,BTCUSDT
2025-09-30 03:07:13.066,114413.4,0.002,BTCUSDT
2025-09-30 03:07:13.066,114413.4,0.008,BTCUSDT
2025-09-30 03:07:13.066,114413.4,0.07,BTCUSDT
2025-09-30 03:07:13.066,114413.4,0.07,BTCUSDT
2025-09-30 03:07:13.066,114413.4,0.002,BTCUSDT
2025-09-30 03:07:13.066,114413.3,0.002,BTCUSDT
2025-09-30 03:07:13.066,114413.3,0.002,BTCUSDT
2025-09-30 03:07:13.066,114413.3,0.001,BTCUSDT
2025-09-30 03:07:13.066,114413.3,0.002,BTCUSDT
2025-09-30 03:07:13.066,114413.3,0.001,BTCUSDT
2025-09-30 03:07:13.072,114412.7,0.002,BTCUSDT
2025-09-30 03:07:13.072,114412.1,0.002,BTCUSDT
2025-09-30 03:07:13.072,114412.0,0.001,BTCUSDT
2025-09-30 03:07:13.072,114411.9,0.002,BTCUSDT
2025-09-30 03:07:13.072,114411.5,0.002,BTCUSDT
2025-09-30 03:07:13.072,114411.1,0.001,BTCUSDT
2025-09-30 03:07:13.072,114411.0,0.001,BTCUSDT
2025-09-30 03:07:13.072,114410.9,0.002,BTCUSDT
